Look-ahead bias|risk|Using information in a historical decision that would not have been known at that time.
XAU/USD|gold|A quotation of gold against the US dollar, commonly expressed per troy ounce; contract terms vary.
Troy ounce|gold|A precious-metal mass unit of approximately 31.1035 grams, different from an everyday avoirdupois ounce.
Spot gold|gold|Gold priced for near-term settlement; retail products using spot quotes can have different contractual structures.
Gold futures|gold|Exchange-traded contracts with defined quantity, expiration and settlement terms.
Real yield|gold|A yield adjusted for inflation or inflation expectations under a stated measurement method.
Safe haven|gold|An asset sought during some periods of stress; the label does not guarantee protection in every crisis.
CPI|markets|A consumer price index tracking changes in a defined basket; methodology and coverage depend on the publisher.
FOMC|markets|The Federal Open Market Committee, responsible for US monetary policy decisions within its mandate.
NFP|markets|US nonfarm payroll employment, a measure published in the monthly Employment Situation report.
Carry trade|markets|A position seeking a financing or yield difference while accepting exchange-rate and other risks.
Blockchain|crypto|A linked transaction record maintained under a network's consensus and validation rules.
Private key|crypto|Secret signing information that can authorize control over assets; sharing it can surrender that control.
Seed phrase|crypto|Recovery words used by some wallets to reconstruct keys; never disclose them to unsolicited support or websites.
Wallet|crypto|Software or hardware used to manage credentials and interact with digital assets.
Custody|crypto|The arrangement determining who controls keys or holds assets and who bears the related responsibilities.
Token|crypto|A digital unit defined by a network or contract; its rights, purpose and risks depend on its design.
Stablecoin|crypto|A crypto asset intended to track a reference value, with mechanism, liquidity and redemption risks.
Depeg|crypto|A departure of an asset's traded price from the reference value it is intended to track.
Gas|crypto|A measure or fee concept for network computation on some blockchains; it is not a universal fixed charge.
Confirmation|crypto|Evidence that a transaction has been included and further accepted under a network's rules.
Smart contract|crypto|Code executed under a blockchain's rules, potentially exposed to bugs, permissions and dependency risks.
DeFi|crypto|Financial applications using blockchain-based contracts, often with multiple technical and economic dependencies.
Staking|crypto|Committing assets under a protocol's rules, potentially involving rewards, restrictions and penalties.
Perpetual futures|crypto|Derivative contracts without a fixed expiry, commonly using funding and margin mechanisms.
Funding rate|crypto|A periodic transfer mechanism between derivative positions under the venue's rules; direction and amount can change.
Liquidation|crypto|Forced closure or transfer of a position when collateral requirements are breached.
Market capitalization|crypto|Price multiplied by a specified supply measure; it does not equal available exit liquidity.
Fully diluted valuation|crypto|Price multiplied by a stated maximum or total supply measure, which may differ from circulating supply.
Bridge|crypto|A mechanism connecting assets or messages across networks, adding its own security assumptions.
Token allowance|crypto|Permission for a contract to spend a specified quantity of a token on behalf of an address.
